datetime,signal_vrp_z,signal_skew_z,signal_concavity_z,composite_score,dte,entry_iv,spx_close,tp_pct,kelly_fraction
2021-02-03,0.375367,0.229481,-0.595658,50.6391,44,0.2079,3830.25,50,0.015
2021-02-04,0.160054,-0.032735,-0.375819,48.9847,43,0.1906,3850.98,50,0.015
2021-02-05,0.21487,-0.047231,-0.651748,48.3416,42,0.1895,3878.44,50,0.015
2021-02-08,0.112732,-0.003137,-1.110936,47.3166,39,0.1827,3906.93,50,0.015
2021-02-09,0.161163,0.007412,-0.974046,47.8078,38,0.1852,3913.56,50,0.015
2021-02-10,0.091552,-0.064323,-0.928075,49.702,37,0.1799,3921.18,50,0.015
2021-02-11,0.128459,-0.067056,-0.789576,50.0543,36,0.1829,3917.47,50,0.015
2021-02-12,0.020701,-0.243875,-0.564637,49.7789,35,0.1741,3916.27,50,0.015
2021-02-16,0.237661,-0.131453,-0.954689,49.7176,31,0.1791,3938.68,50,0.015
2021-02-17,0.217017,0.027963,-0.792724,50.0315,30,0.1794,3917.68,50,0.015
2021-02-18,0.370898,0.19806,-1.036031,50.3364,29,0.1868,3896.52,50,0.015
2021-02-19,0.164211,-0.041437,-0.890481,49.5824,28,0.1717,3922.25,50,0.015
2021-02-22,0.268667,0.090424,-0.730307,49.8948,25,0.1828,3889.89,50,0.015
2021-02-23,0.398858,-0.113687,0.230567,50.6277,27,0.2011,3838.93,50,0.015
2021-02-24,0.308416,-0.074679,-0.101629,49.9309,26,0.1965,3865.84,50,0.015
2021-02-25,0.262749,-0.123737,-0.441445,49.3011,25,0.1836,3900.51,50,0.015
2021-02-26,0.620471,0.530735,-0.304132,51.7158,33,0.2342,3816.81,50,0.015
2021-03-01,-0.045248,0.189991,-0.582854,48.8907,30,0.1887,3878.26,50,0.015
2021-03-02,0.001323,0.118663,-0.942948,48.4473,45,0.1881,3894.18,50,0.015
2021-03-03,0.43705,0.308694,-1.045265,49.6899,44,0.2083,3842.23,50,0.015
2021-03-04,0.539019,0.264418,-0.858574,49.9556,43,0.2216,3799.68,50,0.015
2021-03-05,0.596391,0.371264,-1.321722,50.1698,42,0.2265,3771.04,50,0.015
2021-03-08,0.00895,0.144741,-0.8531,48.2426,39,0.203,3860.75,50,0.015
2021-03-09,-0.113643,-0.083095,-0.82829,47.0138,38,0.1922,3878.12,50,0.015
2021-03-10,-0.181189,-0.323726,-0.739101,47.3388,37,0.1882,3900.61,50,0.015
2021-03-11,-0.331287,-0.392254,-0.756708,46.7203,36,0.1789,3932.19,50,0.015
2021-03-12,-0.3027,-0.42848,-0.508027,46.7212,35,0.1809,3927.68,50,0.015
2021-03-15,-0.469678,-0.694527,-0.587304,45.585,32,0.1684,3943.2,50,0.015
2021-03-16,-0.656401,-0.834515,-0.535968,45.2848,31,0.1554,3977.67,50,0.015
